#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-11-23T11:17:57 [V7.294]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	version=7.294	
#INFO	-ref=VIZ637dfd101c8380	
#INFO	-out.max=1000	
#INFO	queryParameters=30	
#-oc.form=dec
#-out.max=1000
#-order=I
#-out.src=J/A+A/661/A23/tableb1
#-nav=cat:J/A+A/661/A23&tab:{J/A+A/661/A23/tableb1}&key:source=J/A+A/661/A23&HTTPPRM:&&-ref=VIZ637dfd101c8380&-out.max=1000&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=Host&-out=Pl-letter&-out=Pl-asem&-out=Mass&-out=f_Mass&-out=Rad&-out=f_Rad&-out=Dist&-out=ftrans&-out=FX&-out=binary&-out=Xray-prov&-out=LX&-out=LXUV&-out=FplX&-out=FplXUV&-out=dM/dt&-out=SimbadName&-out=_RA&-out=_DE&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/A+A/661/A23/tableb1
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/661/A23/tableb1
#-out=Host
#-out=Pl-letter
#-out=Pl-asem
#-out=Mass
#-out=f_Mass
#-out=Rad
#-out=f_Rad
#-out=Dist
#-out=ftrans
#-out=FX
#-out=binary
#-out=Xray-prov
#-out=LX
#-out=LXUV
#-out=FplX
#-out=FplXUV
#-out=dM/dt
#-out=SimbadName
#-out=_RA
#-out=_DE
#

#RESOURCE=yCat_36610023
#Name: J/A+A/661/A23
#Title: Exoplanet X-ray irradiation and evaporation rates (Foster+, 2022)
#Table	J_A_A_661_A23_tableb1:
#Name: J/A+A/661/A23/tableb1
#Title: Exoplanet irradiation fluxes and mass-loss rates
#Column	Host	(a27)	Host star name	[ucd=meta.id;meta.main]
#Column	Pl-letter	(A1)	Planet letter	[ucd=meta.note]
#Column	Pl-asem	(F23.18)	? Planet semi-major axis	[ucd=phys.size.smajAxis]
#Column	Mass	(F6.1)	? Planet mass	[ucd=phys.mass]
#Column	f_Mass	(F4.1)	[0/1]? Flag if mass was calculated	[ucd=meta.code]
#Column	Rad	(F4.1)	? Planet radius	[ucd=phys.angSize;src]
#Column	f_Rad	(F4.1)	[0/1]? Flag if radius was calculated	[ucd=meta.code]
#Column	Dist	(F10.6)	? Host star distance	[ucd=pos.distance]
#Column	ftrans	(I1)	[0/1]Flag if exoplanet is transiting	[ucd=meta.code]
#Column	FX	(E8.1)	Adopted stellar X-ray flux, 0.2-2 keV	[ucd=phot.flux;em.X-ray]
#Column	binary	(A1)	[0/1]Multi-stellar system flag	[ucd=meta.code]
#Column	Xray-prov	(A1)	[CERX] Adopted X-ray flux data source (1)	[ucd=meta.code]
#Column	LX	(D23.16)	? Stellar X-ray luminosity, 0.2-2keV	[ucd=phys.luminosity;em.X-ray]
#Column	LXUV	(D23.16)	? Stellar XUV luminosity	[ucd=phys.luminosity;em.UV]
#Column	FplX	(D23.16)	? Planet Xray irradiation flux, 0.2-2keV	[ucd=phot.flux;em.X-ray]
#Column	FplXUV	(D21.14)	? Planetary XUV irradiation flux	[ucd=phot.flux;em.UV]
#Column	dM/dt	(F29.15)	? Estimated planetary mass loss rate	[ucd=phys.mass.loss]
#Column	SimbadName	(a23)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Host	Pl-letter	Pl-asem	Mass	f_Mass	Rad	f_Rad	Dist	ftrans	FX	binary	Xray-prov	LX	LXUV	FplX	FplXUV	dM/dt	SimbadName	_RA	_DE
61 Vir                     	b	   0.050201000000000003	   5.1	 0.0	 2.1	 1.0	  8.503320	0	 7.2e-14	0	E	 6.2212941849066321e+26	 8.5629446115192949e+27	 8.7777448045599130e+01	 1.20816248744273e+03	    864568929.847929239273071	61 Vir                 	199.60131	-18.31119
61 Vir                     	c	   0.217499999999999999	  18.2	 0.0	 4.5	 1.0	  8.503320	0	 7.2e-14	0	E	 6.2212941849066321e+26	 8.5629446115192949e+27	 4.6761578674359709e+00	 6.43623008709647e+01	    122668137.528335273265839	61 Vir                 	199.60131	-18.31119
61 Vir                     	d	   0.475999999999999979	  22.9	 0.0	 5.2	 1.0	  8.503320	0	 7.2e-14	0	E	 6.2212941849066321e+26	 8.5629446115192949e+27	 9.7632358730135982e-01	 1.34380476995669e+01	     30567135.435679320245981	61 Vir                 	199.60131	-18.31119
AB Pic                     	b	 260.000000000000000000	4290.5	 0.0	12.6	 1.0	 50.047500	0	 2.4e-12	0	E	 7.1728814269390503e+29	 4.1966431886103942e+30	 3.7728879262649826e-03	 2.20740640681511e-02	         3799.046824161135646	AB Pic                 	094.80380	-58.05431
AU Mic                     	b	   0.066000000000000003	  57.2	 0.0	 4.2	 0.0	  9.722100	1	 4.2e-11	0	R	 4.7901004981409953e+29	 2.9335082287438718e+30	 3.9100625326284833e+04	 2.39456366705046e+05	 115037874797.141387939453125	AU Mic                 	311.28972	-31.34090
BD-10 3166                 	b	   0.040000000000000001	 187.5	 0.0	14.3	 1.0	 84.406900	0	 3.2e-13	0	R	 2.7157856883801845e+29	 1.7748872538947058e+30	 6.0353500137500705e+04	 3.94437081616237e+05	2261342849293.863281250000000	BD-10 3166             	164.61993	-10.77039
CHXR 73                    	b	 210.000000000000000000	3994.5	 0.0	12.6	 1.0	190.374000	0	 1.7e-14	0	X	 7.5508414967984081e+28	 5.7329867778503213e+29	 6.0881271399282040e-04	 4.62241889329543e-03	          861.855168766496377	CHXR 73                	166.61985	-77.62587
CI Tau                     	b	   0.081689234798114713	3686.8	 0.0	12.7	 1.0	157.998000	0	 2.1e-14	0	X	 6.2691604994881227e+28	 4.8664425113018433e+29	 3.3404631218531154e+03	 2.59303805428963e+04	   5288821025.373564720153809	CI Tau                 	068.46673	+22.84169
CT Cha                     	b	 440.000000000000000000	5403.0	 0.0	24.7	 0.0	190.720000	0	 9.2e-14	0	E	 4.0046590332022773e+29	 2.5030772366335361e+30	 7.3550755996549730e-04	 4.59722591975415e-03	         4723.280963024893936	CT Cha                 	166.03791	-76.45537
CoRoT-2                    	b	   0.027980000000000001	1102.8	 0.0	16.4	 0.0	213.283000	1	 1.4e-14	0	X	 7.8318251616466700e+28	 5.9205784360853190e+29	 3.5570872039503025e+04	 2.68903012520203e+05	 400466320216.745605468750000	CoRoT-2                	291.77706	+01.38371
DE CVn                     	b	   5.750000000000000000	3823.3	 0.0	12.6	 1.0	 30.522500	0	 1.0e-12	0	R	 1.1508009648423808e+29	 8.3127026553778024e+29	 1.2376318489543303e+00	 8.93991738926974e+00	      1750681.422363300342113	DE CVn                 	201.72196	+45.54630
DH Tau                     	b	 330.000000000000000000	3496.0	 0.0	12.7	 1.0	134.846000	0	 1.6e-12	0	X	 3.3814026699537322e+30	 1.6681566001549343e+31	 1.1040683503527472e-02	 5.44673050041776e-02	        11790.632283521064892	DH Tau                 	067.42314	+26.54948
DP Leo                     	b	   8.189999999999999503	1922.8	 0.0	13.0	 1.0	305.684000	0	 1.7e-13	0	E	 1.8500685761820284e+30	 9.7437088505250391e+30	 9.8072438086978799e+00	 5.16515601250147e+01	     21841424.977223068475723	DP Leo                 	169.31635	+17.96158
DS Tuc A                   	b	   0.079445316547646652	  26.7	 1.0	 5.7	 0.0	 44.062200	1	 3.1e-12	1	E	 7.1619163756096740e+29	 4.1909490802496236e+30	 4.0347775441512480e+04	 2.36103667661619e+05	 605144549558.745849609375000	DS Tuc                 	354.91450	-69.19575
FU Tau                     	b	 800.000000000000000000	      	    	    	    	          	0	 5.0e-14	0	X	                       	                       	                       	                     	                             	FU Tau                 	065.89746	+25.05076
GJ 1061                    	b	   0.021000000000000001	   1.4	 0.0	 0.9	 1.0	  3.672780	0	 3.9e-14	0	E	 6.3692489292487122e+25	 1.1786348394091398e+27	 5.1354272611283520e+01	 9.50315108178900e+02	                             	GJ 1061                	053.99875	-44.51270
GJ 1061                    	c	   0.035000000000000003	   1.7	 0.0	 1.0	 1.0	  3.672780	0	 3.9e-14	0	E	 6.3692489292487122e+25	 1.1786348394091398e+27	 1.8487538140062064e+01	 3.42113438944404e+02	                             	GJ 1061                	053.99875	-44.51270
GJ 1061                    	d	   0.053999999999999999	   1.6	 0.0	 0.9	 1.0	  3.672780	0	 3.9e-14	0	E	 6.3692489292487122e+25	 1.1786348394091398e+27	 7.7665412282496673e+00	 1.43720494755451e+02	                             	GJ 1061                	053.99875	-44.51270
GJ 1265                    	b	   0.025999999999999999	   7.4	 0.0	 2.7	 1.0	 10.252500	0	 6.5e-15	0	X	 8.1231992997888714e+25	 1.4560026480836832e+27	 4.2727488071549324e+01	 7.65847709531843e+02	    729954992.929179549217224	GJ 1265                	333.42860	-17.68574
GJ 143                     	b	   0.191500000000000004	  22.7	 0.0	 2.6	 0.0	 16.320000	1	 5.2e-14	0	E	 1.6663760638248781e+27	 2.0227478476323352e+28	 1.6157062724932359e+01	 1.96124179651876e+02	     56863094.344709187746048	GJ 143                 	051.74676	-63.49910
GJ 15 A                    	b	   0.071999999999999995	   3.0	 0.0	 1.6	 1.0	  3.562280	0	 1.2e-12	0	R	 1.8704006043572298e+27	 2.2374359419317441e+28	 1.2829111810909106e+02	 1.53466138761506e+03	                             	GJ 15 A                	004.59535	+44.02295
GJ 15 A                    	c	   5.400000000000000355	  36.0	 0.0	 6.8	 1.0	  3.562280	0	 1.2e-12	0	R	 1.8704006043572298e+27	 2.2374359419317441e+28	 2.2807309886060625e-02	 2.72828691131566e-01	       879201.067292902502231	GJ 15 A                	004.59535	+44.02295
GJ 163                     	b	   0.060699999999999997	  10.6	 0.0	 3.3	 1.0	 15.128500	0	 2.7e-14	0	E	 7.3328737987379418e+26	 9.8824601078912009e+27	 7.0765858136408795e+01	 9.53706267458348e+02	   1198796301.607300758361816	GJ 163                 	062.31528	-53.37369
GJ 163                     	c	   0.125400000000000011	   6.8	 0.0	 2.5	 1.0	 15.128500	0	 2.7e-14	0	E	 7.3328737987379418e+26	 9.8824601078912009e+27	 1.6580823129622633e+01	 2.23458534309833e+02	    199560254.961709171533585	GJ 163                 	062.31528	-53.37369
GJ 163                     	d	   1.030399999999999983	  29.4	 0.0	 6.0	 1.0	 15.128500	0	 2.7e-14	0	E	 7.3328737987379418e+26	 9.8824601078912009e+27	 2.4557800082934608e-01	 3.30963666249020e+00	      9125422.996490808203816	GJ 163                 	062.31528	-53.37369
GJ 179                     	b	   2.410000000000000142	 260.6	 0.0	14.1	 1.0	 12.356000	0	 9.2e-14	0	E	 1.6743270479895386e+27	 2.0311734799587533e+28	 1.0250219295697395e-01	 1.24348308307996e+00	      4930955.448127535171807	GJ 179                 	073.02388	+06.47655
GJ 180                     	b	   0.091999999999999998	   6.5	 0.0	 2.5	 1.0	 11.940700	0	 4.4e-14	0	E	 7.4518504946939906e+26	 1.0022128148198055e+28	 3.1305123927121105e+01	 4.21028258573125e+02	    362731192.634075284004211	GJ 180                 	073.45825	-17.77342
GJ 180                     	c	   0.129000000000000004	   6.4	 0.0	 2.5	 1.0	 11.940700	0	 4.4e-14	0	E	 7.4518504946939906e+26	 1.0022128148198055e+28	 1.5922514807953426e+01	 2.14144773785405e+02	    182520353.547697246074677	GJ 180                 	073.45825	-17.77342
GJ 180                     	d	   0.308999999999999997	   7.6	 0.0	 2.7	 1.0	 11.940700	0	 4.4e-14	0	E	 7.4518504946939906e+26	 1.0022128148198055e+28	 2.7750711546711178e+00	 3.73224325317385e+01	     36164042.059165671467781	GJ 180                 	073.45825	-17.77342
GJ 229                     	c	   0.339000000000000024	   7.3	 0.0	 2.6	 1.0	  5.756240	0	 3.3e-13	0	E	 1.3012639490409044e+27	 1.6299317390122023e+28	 4.0261778062560811e+00	 5.04309290836814e+01	     47405823.806466259062290	GJ 229                 	092.64423	-21.86463
GJ 229                     	b	   0.898000000000000020	   8.5	 0.0	 2.9	 1.0	  5.756240	0	 3.3e-13	0	E	 1.3012639490409044e+27	 1.6299317390122023e+28	 5.7377242631826619e-01	 7.18693459013813e+00	      7606324.708324396982789	GJ 229                 	092.64423	-21.86463
GJ 251                     	b	   0.081799999999999998	   4.0	 0.0	 1.9	 1.0	  5.580570	0	 7.0e-14	0	E	 2.6021168380038277e+26	 4.0075614524809409e+27	 1.3827610399496676e+01	 2.12961222984354e+02	    126395603.249196529388428	GJ 251                 	103.70399	+33.26818
GJ 273                     	b	   0.091101000000000001	   2.9	 0.0	 1.5	 1.0	  5.921535	0	 1.6e-13	0	E	 6.6244391008171157e+26	 9.0446971350316907e+27	 2.8381135850235218e+01	 3.87502661292341e+02	                             	GJ 273                 	111.85208	+05.22579
GJ 273                     	c	   0.036466999999999999	   1.2	 0.0	 0.9	 1.0	  5.921535	0	 1.6e-13	0	E	 6.6244391008171157e+26	 9.0446971350316907e+27	 1.7712341899788049e+02	 2.41835973729389e+03	                             	GJ 273                 	111.85208	+05.22579
GJ 3021                    	b	   0.489999999999999991	1071.0	 0.0	13.3	 1.0	 17.555900	0	 2.1e-12	0	E	 7.8488617601569928e+28	 5.9319271477891602e+29	 1.1623621749361185e+02	 8.78477408796776e+02	    715400808.585324048995972	GJ 3021                	004.05282	-79.85118
GJ 3082                    	b	   0.079000000000000001	   8.2	 0.0	 2.8	 1.0	 16.618600	0	 1.5e-13	0	E	 4.8131575480836838e+27	 5.1125904600240340e+28	 2.7422234724285147e+02	 2.91282083005446e+03	   3004662380.392051696777344	GJ 3082                	018.64249	-53.94211
GJ 317                     	b	   1.151000000000000023	 557.1	 0.0	13.7	 1.0	 15.196800	0	 1.8e-14	0	X	 4.8433091702678172e+26	 6.8842542873817397e+27	 1.2999255939537971e-01	 1.84770743077689e+00	      3128882.618002363480628	GJ 317                 	130.24669	-23.45628
GJ 317                     	c	   5.230000000000000426	 522.5	 0.0	13.7	 1.0	 15.196800	0	 1.8e-14	0	X	 4.8433091702678172e+26	 6.8842542873817397e+27	 6.2960151457270869e-03	 8.94912295223048e-02	       162826.477416903915582	GJ 317                 	130.24669	-23.45628
GJ 328                     	b	   4.500000000000000000	 731.0	 0.0	13.5	 1.0	 20.526600	0	 8.9e-14	0	E	 4.4904504692378516e+27	 4.8113375480186910e+28	 7.8848208775979034e-02	 8.44826927892322e-01	      1055313.487184103345498	GJ 328                 	133.78176	+01.54650
GJ 3323                    	b	   0.032820000000000002	   2.0	 0.0	 1.2	 1.0	  5.374840	0	 6.0e-13	0	E	 2.0790105864950614e+27	 2.4539487552318202e+28	 6.8628814400781539e+02	 8.10056450726176e+03	                             	GJ 3323                	075.48928	-06.94622
GJ 3323                    	c	   0.126400000000000012	   2.3	 0.0	 1.3	 1.0	  5.374840	0	 6.0e-13	0	E	 2.0790105864950614e+27	 2.4539487552318202e+28	 4.6268934854287927e+01	 5.46132837558073e+02	                             	GJ 3323                	075.48928	-06.94622
GJ 3341                    	b	   0.088999999999999996	   6.6	 0.0	 2.5	 1.0	 23.619000	0	 3.0e-14	0	E	 2.0145485003824495e+27	 2.3873464816847962e+28	 9.0432526257929311e+01	 1.07167324763216e+03	    935311903.053519845008850	GJ 3341                	078.94465	-31.29592
GJ 338 B                   	b	   0.140999999999999986	  10.3	 0.0	 3.2	 1.0	  6.332560	0	 6.0e-13	1	R	 2.8855671301676223e+27	 3.2680543969137765e+28	 5.1608341875923173e+01	 5.84491231625732e+02	    717022003.879968166351318	GJ 338 B               	138.60285	+52.68636
GJ 3470                    	b	   0.035499999999999997	  13.9	 0.0	 4.6	 0.0	 29.421400	1	 2.7e-14	0	X	 2.8089587410060671e+27	 3.1920795917613971e+28	 7.9252980334822246e+02	 9.00624909223282e+03	  22891878841.759811401367188	GJ 3470                	119.77433	+15.39145
GJ 3942                    	b	   0.060800000000000000	   7.1	 0.0	 2.6	 1.0	 16.928700	0	 1.7e-13	0	R	 5.7487852036463339e+27	 5.9726674665790536e+28	 5.5296274507849569e+02	 5.74497477426321e+03	   5326979072.651082038879395	GJ 3942                	242.26309	+52.94388
GJ 3998                    	b	   0.029000000000000001	   2.5	 0.0	 1.4	 1.0	 18.145900	0	 1.9e-14	0	X	 7.4246321205453837e+26	 9.9902012050261603e+27	 3.1391053637986391e+02	 4.22381791837811e+03	                             	GJ 3998                	259.00265	+11.05767
GJ 3998                    	c	   0.088999999999999996	   6.3	 0.0	 2.4	 1.0	 18.145900	0	 1.9e-14	0	X	 7.4246321205453837e+26	 9.9902012050261603e+27	 3.3328968702874086e+01	 4.48457375250093e+02	    375775662.207529604434967	GJ 3998                	259.00265	+11.05767
GJ 411                     	b	   0.078899999999999998	   2.7	 0.0	 1.5	 1.0	  5.675773	0	 9.0e-13	0	E	 3.4876163235325258e+27	 3.8569899721625161e+28	 1.9920564641188582e+02	 2.20303528064282e+03	                             	GJ 411                 	165.83414	+35.96988
GJ 414 A                   	b	   1.399999999999999911	   7.6	 0.0	 2.6	 0.0	 11.889300	0	 1.1e-13	0	E	 1.8499415917333428e+27	 2.2160446572554877e+28	 3.3560536448223222e-01	 4.02021597995583e+00	      3562105.049669534433633	GJ 414 A               	167.77155	+30.44602
GJ 414 A                   	c	   0.232399999999999995	  53.8	 0.0	 8.4	 0.0	 11.889300	0	 1.1e-13	0	E	 1.8499415917333428e+27	 2.2160446572554877e+28	 1.2179030500879383e+01	 1.45892581650306e+02	    594634868.713431596755981	GJ 414 A               	167.77155	+30.44602
GJ 433                     	b	   0.062000000000000000	   6.0	 0.0	 2.4	 1.0	  9.064560	0	 4.7e-14	0	E	 4.5986104056359228e+26	 6.5802054461790695e+27	 4.2537326196377343e+01	 6.08671578614825e+02	    496355412.835090816020966	GJ 433                 	173.86228	-32.53997
GJ 433                     	c	   4.818999999999999950	  32.4	 0.0	 6.4	 1.0	  9.064560	0	 4.7e-14	0	E	 4.5986104056359228e+26	 6.5802054461790695e+27	 7.0410870567403465e-03	 1.00751738701328e-01	       299532.835847956477664	GJ 433                 	173.86228	-32.53997
GJ 433                     	d	   0.177999999999999992	   5.2	 0.0	 2.2	 1.0	  9.064560	0	 4.7e-14	0	E	 4.5986104056359228e+26	 6.5802054461790695e+27	 5.1607588025146622e+00	 7.38459016599984e+01	     53823267.455396719276905	GJ 433                 	173.86228	-32.53997
GJ 436                     	b	   0.029100000000000001	  22.1	 0.0	 4.2	 0.0	  9.753210	1	 1.0e-14	0	X	 1.1780009854270234e+26	 2.0112549922831526e+27	 4.9463702872315459e+01	 8.44516435635172e+02	   1025717302.681306004524231	GJ 436                 	175.54622	+26.70657
GJ 504                     	b	  43.500000000000000000	1271.3	 0.0	13.2	 1.0	 17.529900	0	 7.0e-12	0	E	 2.5705592961712611e+29	 1.6906689432765493e+30	 4.8303217623369477e-02	 3.17692534919523e-01	       213525.820838315878063	GJ 504                 	199.19381	+09.42416
GJ 536                     	b	   0.066610000000000003	   5.4	 0.0	 2.2	 1.0	 10.409200	0	 4.7e-14	0	E	 6.0522970568238898e+26	 8.3598313198387511e+27	 4.8502968285670633e+01	 6.69954943673039e+02	    498135766.763925731182098	GJ 536                 	210.26328	-02.65487
GJ 625                     	b	   0.078361000000000000	   2.8	 0.0	 1.5	 1.0	  6.472490	0	 7.2e-14	0	R	 3.5883756224920264e+26	 5.3015199810352040e+27	 2.0779012646450795e+01	 3.06992250311964e+02	                             	GJ 625                 	246.35260	+54.30410
